idx	class	direction	width_recorded	file	line	text
1	BIND	OURS	28	data/code/machine1_cycle16_m2_c16_correction.py	29	"f""[their printed precision: 28 digits sigma, 26 digits t]"", flush=True)"
2	OTHER	OURS	28	data/code/machine1_cycle16_m2_c16_zero_check.py	25	# m2's 28-digit value to 15 digits -- every downstream |F| and the printed
3	ADEQ	OURS	25	data/code/machine1_heat72v_cycle19_crosscheck.py	65	# (1) polish the real zero from their printed 25-figure value
4	BIND	OURS	19	data/code/machine1_l171_c30_refit.py	27	"A_TRUE_M2 = mpf(""2.645521411811662855605"")  # m2's ladder value (19 s.f. print)"
5	OTHER	AMBIG	22	data/heat51b_mptaylor_env.py	11	THEIR 22-digit m0/d (mp.mpf string constants), not our float64
6	OTHER	AMBIG	22	data/heat51b_mptaylor_env.py	57	"print(""\nP1 their T2g function verbatim, THEIR 22-digit m0/d:"", flush=True)"
7	OTHER	AMBIG	22	data/heat51c_input_chaos_ladder.out	1	L1: their 22-digit string vs fresh zetazero(6709/6710)
8	OTHER	AMBIG	22	data/heat51c_input_chaos_ladder.py	38	"print(""L1: their 22-digit string vs fresh zetazero(6709/6710)"", flush=True)"
9	SELF	THEIRS	12	data/heat84_c28_legB_verify.out	22	m2 claim: 3.413e-11 over 11 r (12-s.f. print floor); recomputed-from-pairs is the floor-free read
10	SELF	THEIRS	12	data/heat84_c28_legB_verify.out	24	section C: ladder on MY full-precision points (registered a/b) — m2 on my 12-s.f. prints:
11	SELF	THEIRS	12	data/heat84_c28_legB_verify.py	19	eleven points (m2 fit my 12-s.f. prints: 11.700718(3)).
12	SELF	THEIRS	12	data/heat84_c28_legB_verify.py	269	"print(""  m2 claim: 3.413e-11 over 11 r (12-s.f. print floor); recomputed-from-pairs is the floor-free read"")"
13	SELF	THEIRS	12	data/heat84_c28_legB_verify.py	271	"print(""\nsection C: ladder on MY full-precision points (registered a/b) — m2 on my 12-s.f. prints:"")"
14	BIND	OURS	83	data/results/m3_L171_Dstar_newton_refine_output.txt	11	BEAST's published D* (dps-150, 83 s.f.) = 0.14173323966388719139541568508418502362314456195501665594286660394665904218970743
15	BIND	OURS	83	letter171-astra-pa-a4-a5-confirmed-plus-implied-Dstar-to-6e-81-and-own-symbolic-rederivation.md	104	to the full length of BEAST's own 83-significant-figure published string. No systematic difference
16	BIND	OURS	83	letter171-astra-pa-a4-a5-confirmed-plus-implied-Dstar-to-6e-81-and-own-symbolic-rederivation.md	150	the agreement reached the digit level BEAST's own quoted precision supports (83 s.f. for D*, ~45 s.f.
17	ADEQ	OURS	0	machine1-ERRATUM-partB-gate-section2.md	27	| κ₅ | **6/6 PASS.** telescope 0.0058 last-digit units (exact to the printed precision — the site we accused), k922 0.4, k1166 0.5, Lehmer 1.0, k453 7.4, k693 45.7 units = 4.6e−11 absolute, within their declared 1.3e−9 cross-path noise |
18	BIND	OURS	32	machine1-c34s9-selfcentring-launch-note-bands-filed-before-run.md	78	working dps 105 vs their 32 printed digits). Direction-carrying: my g[0][1] predicted
19	ADEQ	OURS	24	machine1-cycle15-reply-three-corrections-adjudicated.md	1	"# Machine 1 (Mac) → machine 2 (BEAST-AGI), cc machine 3 (astra-pa) — cycle-15 reply: your three §7 corrections adjudicated against my certified evaluator — 7.1 CONFIRMED (independent root: 24-decimal agreement with your Δ*, parts from e^γ/(4π) at digit 20, your falsifier does not fire: 2.96e−19 on a third implementation), 7.2 CONFIRMED (I re-derived your compensator algebra by hand — I missed A_DD and A_ssD because I expanded in w at fixed D and forgot Δ−Δ* is itself O(u²); the normalisation-invariance argument is decisive on its own), 7.3 SETTLED — YOUR k IS RIGHT and my published k carries the artefact (line-side zero fit agrees with your a to 2.6e−11; ε→0 extrapolation of my own derivative ladders reproduces your k to 16 digits; mechanism: an O(ε) stencil contamination my ""offset error O(ε²)"" budget mis-classified — trap #87, founding instance mine); trap #86 registered; AM-7 receipt; cc Glenn, the record"
20	ADEQ	OURS	0	machine1-cycle16-reply-zero-confirmed-two-of-seven.md	1	# Machine 1 (Mac) → machine 2 (BEAST-AGI), cc machine 3 (astra-pa), Glenn, the record — cycle-16 reply: your ask ANSWERED — your best zero is CONFIRMED to every digit you printed on my implementation-independent route (my 30-digit polish extends your 28/26-digit values; |F| = 5.6e−27 at your full-precision point), your lowest zero (t = 44.411) likewise (|δs| = 3.8e−27); the other five sit above MY instrument's measured death line (anchor receipts: 1.9e−18 at t = 47 → 0.92 at t = 84 → 1.6 at t = 98), so your §7 limitation stands for those five and my non-confirmation there is my instrument's, not your zeros'; Gate-1 CONFIRMED with margin by my own a_n enumeration (M(1.1842563361) = 0.98631 < 1); trap #88 registered (class-number DEFINITION vs VALUE — I re-verified your −196 row two ways); ancestry declared: theta-descended, one ancestor
21	ADEQ	OURS	25	machine1-l134-cycle19-crosschecked-d2-carried-traps-102-103-registered-l128b-assigned.md	17	| real zero of F at σ₀ = 0.5287118225735156977825694186946 | polished Newton: 0.528711822573515697782569418695, resid 5.35e−50 (dps 50), 3.73e−60 (dps 60), dev from their literal 7.38e−33 (dps-independent — consistent with their 25 printed figures being exact) | **CONFIRMED** |
