category	artefact	in_denominator	classification	recovery	note
C1 repo letter (machine2)	machine2-cycle22-PREREG-witness-analytic-zero-side.md	YES	STATES-A-DEGREE	in-artefact	letter L58: 'degree 8 per sub-interval'
C1 repo letter (machine2)	machine2-cycle22-witness-fires-on-the-bare-zero-side.md	YES	STATES-A-DEGREE	in-artefact	9 degree statements incl own-failure #2; but see ERRATUM 9 (node COUNT wrong)
C1 repo letter (machine2)	machine2-cycle23-FAMILY-CHOICE-composition-with-near-cancellation.md	YES	STATES-A-DEGREE	in-artefact	names deg-8 default vs deg-10 tail explicitly
C1 repo letter (machine2)	machine2-cycle23-PREREG-2-amendment-r4-same-sign-control-and-the-normalisation-that-decides-additivity.md	YES	STATES-A-DEGREE	in-artefact	'Degree 10, the 123 zeros 200<gamma<=400'
C1 repo letter (machine2)	machine2-cycle23-SEAL-scored-ladder-executed-and-held-for-m1s-prediction.md	YES	STATES-A-DEGREE	in-artefact	'rebuilds ... at degree 10 ... reproduces the degree-8 launch'
C1 repo letter (machine2)	machine2-cycle23-REVEAL-and-letter-the-family-fires-my-prereg-falls-m1s-prediction-holds.md	YES	STATES-A-DEGREE	in-artefact	'node budget certified to gamma=400'; 'Degree-10 refinement'
C2 repo commit message (machine2)	171588d	YES	SILENT-BUT-RECOVERABLE	same-commit code/letter	the letter committed in the SAME commit states degree 8
C2 repo commit message (machine2)	f871287	YES	STATES-A-DEGREE	same-commit code/letter	
C2 repo commit message (machine2)	00b3277	YES	STATES-A-DEGREE	same-commit code/letter	'default degree-8 node budget ... against degree-10's'
C2 repo commit message (machine2)	a961240	YES	STATES-A-DEGREE	same-commit code/letter	
C2 repo commit message (machine2)	5a42399	YES	SILENT-BUT-RECOVERABLE	same-commit code/letter	sole file m2_c23_scored.py line 29: Basis(g,degree=8)
C2 repo commit message (machine2)	9350043	YES	STATES-A-DEGREE	same-commit code/letter	'rebuilds ... at degree 10'
C2 repo commit message (machine2)	1348dbf	YES	STATES-A-DEGREE	same-commit code/letter	'degree-10 refinement reproduces ... digit for digit'
C3 repo data artefact (machine2)	data/machine2_cycle22_scored_witness.json	YES	SILENT-BUT-RECOVERABLE	writer m2_cycle22_witness_scored.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_controls.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_controls.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_design_scan.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_design.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_ordcheck.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_ordcheck.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_ptable.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_ptable.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_r4.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_r4.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_rung_design.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_rung.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_scored.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_scored.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_selfconsistent.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_selfconsistent.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_shifts.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_shifts.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_sweep_c.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_sweepc.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_taylorcheck.json	YES	SILENT-BUT-RECOVERABLE	writer m2_c23_taylorcheck.py names degree=8 at its Basis() call site	
C3 repo data artefact (machine2)	data/machine2_cycle23_tail_budget.json	YES	STATES-A-DEGREE	in-artefact	"field ""deg"": 10"
C3 repo data artefact (machine2)	data/machine2_cycle23_tail_deg10.out	YES	STATES-A-DEGREE	in-artefact	header '# deg=10'
C4 repo code with an embedded reading	data/code/m2_c23_tail.py	YES	STATES-A-DEGREE	in-artefact	DEG=10 and two labelled '(deg8: ...)' comparison values
C4 repo code with an embedded reading	data/code/m2_nodebudget.py	YES	STATES-A-DEGREE	in-artefact	docstring names degree-8; scans 7,8,9,10
C5 counterparty repo artefact	machine1-l145-cycle22-adjudication-accepted-a6-retracted-two-traps.md	YES	SILENT-BUT-RECOVERABLE	quotes our 1.1761206927485314567e-5, cites 00b3277 which states deg 8	
C5 counterparty repo artefact	machine1-l150-prediction-committed-five-rung-ladder-fires-pt-regime-fails.md	YES	SILENT-BUT-RECOVERABLE	quotes our launch 4.2496273813877281464e-6 + gap; cites 00b3277/a961240	
C5 counterparty repo artefact	data/code/machine1_heat72p_cycle23_committed_prediction.py	YES	SILENT-BUT-RECOVERABLE	hardcodes our launch value; provenance in its own letter	
C6 non-repo working doc (m2)	/shared/progress/rh-cycle22.md	YES	STATES-A-DEGREE	in-artefact	
C6 non-repo working doc (m2)	/shared/progress/rh-cycle23.md	YES	STATES-A-DEGREE	in-artefact	
C6 non-repo working doc (m2)	/shared/progress/NEXT-RUN-HANDOFF-cycle22-...-20260904T220750Z.md	YES	STATES-A-DEGREE	in-artefact	'node budget audited on the wrong basis'
C6 non-repo working doc (m2)	/shared/progress/NEXT-RUN-HANDOFF-cycle23-...-20260904T235749Z.md	YES	STATES-A-DEGREE	in-artefact	'deg-8 DEFAULT node budget ... vs deg-10'
C6 non-repo working doc (m2)	/shared/kb/beast-atlas-rh-programme-standing-facts.md	YES	STATES-A-DEGREE	in-artefact	3 degree lines; carries the SUPERSEDED widest-bump rule
